insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (1, 12, 8, 2022, 4, 1, 15, 43);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (83, 26, 6, 2024, 3, 1, 1, 47);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (84, 16, 3, 2023, 2, 1, 18, 27);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (85, 28, 4, 2023, 4, 1, 20, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (86, 18, 2, 2023, 4, 1, 9, 5);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (87, 21, 11, 2019, 3, 1, 18, 9);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (88, 10, 8, 2024, 1, 1, 23, 17);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (89, 28, 4, 2020, 1, 1, 7, 20);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (90, 21, 9, 2022, 2, 1, 12, 41);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (91, 18, 1, 2023, 4, 1, 2, 18);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (92, 27, 1, 2023, 2, 1, 21, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (93, 15, 6, 2019, 1, 1, 0, 44);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (94, 30, 6, 2021, 1, 1, 21, 40);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (95, 3, 11, 2019, 1, 2, 2, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (96, 3, 4, 2024, 1, 2, 9, 1);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (97, 30, 6, 2020, 2, 1, 11, 1);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (98, 28, 9, 2022, 4, 2, 6, 11);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (99, 26, 9, 2024, 2, 1, 15, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (100, 23, 12, 2023, 4, 2, 11, 9);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (101, 30, 1, 2024, 3, 1, 6, 34);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (102, 7, 2, 2020, 1, 2, 21, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (103, 29, 5, 2020, 2, 1, 7, 9);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (104, 28, 12, 2022, 1, 2, 4, 24);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (105, 12, 3, 2023, 3, 2, 18, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (106, 16, 8, 2021, 3, 2, 10, 25);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (107, 4, 12, 2021, 2, 2, 21, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (108, 4, 2, 2019, 2, 1, 19, 35);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (109, 1, 1, 2021, 1, 1, 16, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (110, 13, 8, 2020, 2, 1, 3, 3);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (111, 8, 1, 2019, 4, 2, 23, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (112, 3, 6, 2020, 4, 1, 11, 45);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (113, 17, 3, 2021, 4, 1, 1, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (114, 2, 9, 2023, 2, 1, 0, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (115, 2, 7, 2022, 4, 2, 16, 54);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (116, 21, 1, 2020, 2, 2, 5, 25);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (117, 18, 3, 2021, 4, 2, 13, 16);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (118, 26, 6, 2023, 2, 2, 7, 42);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (119, 30, 12, 2020, 4, 1, 3, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (120, 22, 12, 2024, 2, 2, 12, 5);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (121, 23, 1, 2020, 4, 2, 2, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (122, 2, 5, 2021, 4, 1, 1, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (123, 30, 11, 2024, 4, 2, 8, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (124, 3, 2, 2022, 4, 2, 20, 59);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (125, 20, 4, 2023, 4, 1, 1, 27);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (126, 26, 5, 2019, 4, 1, 22, 51);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (127, 22, 3, 2020, 2, 1, 14, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (128, 19, 7, 2022, 3, 2, 21, 19);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (129, 13, 3, 2021, 2, 1, 18, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (130, 2, 10, 2024, 1, 1, 10, 9);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (131, 10, 2, 2024, 3, 1, 3, 58);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (132, 17, 5, 2024, 3, 2, 2, 12);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (133, 6, 11, 2023, 2, 1, 8, 3);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (134, 24, 1, 2023, 3, 1, 23, 49);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (135, 1, 3, 2022, 2, 2, 6, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (136, 9, 6, 2021, 4, 1, 20, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (137, 19, 10, 2024, 4, 1, 10, 44);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (138, 22, 5, 2021, 3, 2, 9, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (139, 24, 9, 2024, 4, 2, 11, 28);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (140, 12, 6, 2021, 3, 2, 5, 36);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (141, 10, 2, 2021, 3, 2, 4, 26);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (142, 8, 8, 2020, 1, 1, 12, 48);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (143, 4, 5, 2019, 1, 1, 19, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (144, 9, 7, 2021, 3, 1, 0, 45);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (145, 2, 7, 2021, 2, 1, 15, 37);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (146, 21, 3, 2024, 2, 1, 11, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (147, 17, 7, 2021, 2, 1, 11, 24);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (148, 25, 9, 2019, 3, 2, 13, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (149, 20, 3, 2019, 2, 1, 0, 2);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (150, 7, 3, 2020, 1, 1, 6, 20);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (151, 25, 2, 2019, 3, 2, 12, 22);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (152, 23, 8, 2023, 4, 1, 21, 28);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (153, 26, 7, 2020, 3, 1, 5, 48);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (154, 1, 6, 2019, 3, 1, 8, 58);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (155, 6, 7, 2023, 2, 2, 2, 18);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (156, 25, 5, 2024, 1, 2, 9, 33);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (157, 24, 10, 2019, 2, 2, 6, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (158, 13, 11, 2024, 4, 2, 9, 49);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (159, 12, 11, 2019, 1, 2, 23, 41);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (160, 20, 4, 2023, 1, 2, 21, 40);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (161, 20, 11, 2019, 2, 1, 8, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (162, 5, 4, 2024, 3, 2, 18, 41);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (163, 12, 12, 2020, 2, 1, 11, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (164, 13, 9, 2023, 3, 2, 16, 9);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (165, 10, 2, 2020, 1, 1, 20, 22);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (166, 2, 6, 2024, 4, 2, 13, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (167, 24, 10, 2019, 1, 2, 8, 24);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (168, 6, 12, 2024, 2, 1, 0, 38);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (169, 12, 10, 2022, 3, 1, 4, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (170, 28, 1, 2024, 4, 1, 7, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (171, 3, 6, 2021, 1, 1, 21, 4);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (172, 24, 6, 2024, 3, 1, 2, 32);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (173, 28, 10, 2021, 2, 1, 22, 27);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (174, 8, 11, 2022, 2, 1, 13, 38);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (175, 9, 2, 2019, 4, 1, 18, 0);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (176, 4, 2, 2019, 2, 1, 8, 8);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (177, 17, 2, 2021, 1, 1, 4, 35);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (178, 12, 10, 2021, 4, 2, 22, 23);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (179, 8, 7, 2021, 3, 2, 4, 25);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (180, 8, 2, 2024, 1, 1, 4, 39);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (181, 8, 2, 2024, 1, 2, 20, 57);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (182, 2, 8, 2023, 4, 2, 21, 21);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (183, 24, 3, 2024, 2, 1, 20, 43);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (184, 31, 7, 2020, 2, 1, 4, 13);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (185, 10, 5, 2024, 3, 2, 22, 44);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (186, 2, 6, 2021, 2, 1, 13, 36);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (187, 22, 9, 2023, 3, 1, 0, 37);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (188, 29, 2, 2022, 3, 1, 20, 4);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (189, 29, 9, 2019, 2, 2, 14, 37);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (190, 28, 9, 2019, 3, 2, 5, 40);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (191, 22, 10, 2024, 2, 2, 18, 7);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (192, 29, 5, 2021, 3, 1, 5, 48);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (193, 3, 5, 2020, 1, 1, 12, 17);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (194, 21, 12, 2020, 2, 1, 11, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (195, 23, 10, 2020, 3, 1, 1, 52);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (196, 5, 5, 2022, 3, 1, 23, 40);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (197, 19, 1, 2024, 3, 1, 16, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (198, 25, 8, 2020, 1, 1, 13, 4);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (199, 8, 2, 2019, 2, 1, 7, 6);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (200, 10, 10, 2020, 1, 2, 13, 30);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (201, 20, 6, 2019, 2, 1, 20, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (202, 9, 4, 2019, 1, 2, 4, 48);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (203, 20, 4, 2019, 3, 1, 5, 50);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (204, 27, 8, 2023, 4, 1, 19, 58);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (205, 22, 1, 2021, 4, 1, 15, 36);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (206, 5, 8, 2023, 3, 1, 2, 10);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (207, 3, 5, 2021, 3, 1, 4, 29);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (208, 12, 11, 2019, 1, 2, 20, 53);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (209, 26, 1, 2021, 1, 1, 1, 16);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (210, 10, 11, 2022, 3, 2, 21, 23);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (211, 27, 10, 2024, 3, 1, 1, 30);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (212, 3, 4, 2023, 3, 1, 5, 59);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (213, 28, 3, 2024, 2, 1, 16, 14);
insert into tempo (id_tempo, dia, mes, ano, trimestre, semestre, horas, minutos) values (214, 30, 12, 2019, 2, 1, 14, 19);
